#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 367770:8807 | 05/21/23 14:35:43 | 163  | 163  | 49783127.599921733  | 46210830.029911652  |
| 367771:8807 | 05/21/23 15:40:12 | 91   | 91   | 42964261.243681781  | 40266491.123334937  |
| 367772:8807 | 05/21/23 16:17:10 | 7    | 7    | 3196432.277889698   | 2567989.525851192   |
| 367789:8811 | 05/22/23 02:39:41 | 36   | 36   | 1742039.374260946   | 1674961.764925986   |
| 367790:8811 | 05/22/23 02:56:11 | 161  | 161  | 53500412.498136386  | 49860405.877814837  |
| 367831:8816 | 05/22/23 17:39:37 | 502  | 502  | 195766435.538686931 | 185559318.692205280 |
| 367836:8817 | 05/23/23 00:01:47 | 553  | 553  | 234524258.762870491 | 222907868.078608423 |
| 367838:8817 | 05/23/23 03:40:32 | 790  | 790  | 337264106.455604553 | 322013794.193988562 |
| 367840:8817 | 05/23/23 08:52:14 | 617  | 617  | 184133143.791915298 | 176425195.758283138 |
| 367880:8821 | 05/23/23 23:22:21 | 22   | 22   | 423.974575763       | 421.244663248       |
| 367881:8821 | 05/23/23 23:33:06 | 153  | 153  | 53441157.852363668  | 50346783.111200407  |
| 367882:8821 | 05/24/23 00:35:25 | 2    | 2    | 960425.403187537    | 49.837974745        |
| 367883:8821 | 05/24/23 00:40:39 | 1049 | 1049 | 493265493.396261454 | 467494629.610417902 |
| 367884:8821 | 05/24/23 07:31:56 | 1019 | 1019 | 329464914.068238378 | 317132715.686004877 |
| 367902:8822 | 05/24/23 17:27:55 | 244  | 244  | 94484672.485356167  | 89071254.958545417  |
| 367904:8822 | 05/24/23 19:07:59 | 102  | 102  | 49057947.848219946  | 44639164.380671814  |
| 367905:8822 | 05/24/23 19:51:09 | 48   | 48   | 22976141.424356684  | 21327873.977409687  |
| 367906:8822 | 05/24/23 20:15:19 | 339  | 339  | 162917311.997433335 | 151127095.116570711 |
| 367907:8822 | 05/24/23 22:31:39 | 120  | 120  | 57499226.110593714  | 51121005.199731477  |
| 367908:8822 | 05/24/23 23:20:48 | 357  | 357  | 152669436.306493521 | 143386751.686067164 |
| 367910:8822 | 05/25/23 01:44:16 | 594  | 594  | 198072792.967147708 | 191263465.515501410 |
| 368223:8850 | 05/30/23 17:12:25 | 480  | 480  | 52901014.543921396  | 46262202.902764224  |
| 368224:8850 | 05/30/23 20:22:22 | 63   | 63   | 7674683.208527416   | 7035723.586389395   |
| 368229:8853 | 05/31/23 00:05:21 | 552  | 552  | 101305157.410061523 | 96309932.816418245  |
| 368318:8858 | 06/01/23 13:03:30 | 294  | 294  | 68258275.725786030  | 64742814.197355509  |
| 368320:8858 | 06/01/23 14:59:30 | 286  | 286  | 81493919.195579559  | 78054406.458815932  |
| 368321:8858 | 06/01/23 16:51:29 | 344  | 344  | 83873775.731625810  | 79976928.965075910  |
| 368331:8860 | 06/01/23 21:56:28 | 57   | 57   | 6869031.140182113   | 6592827.274564303   |
| 368332:8860 | 06/01/23 22:20:51 | 15   | 15   | 2581729.726559860   | 2382530.690342768   |
