#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 367661:8784 | 05/17/23 22:24:43 | 317  | 317  | 115849752.261769578 | 108038585.546563223 |
| 367662:8784 | 05/18/23 00:29:53 | 18   | 18   | 8040429.369224072   | 7224045.069484786   |
| 367663:8784 | 05/18/23 00:38:47 | 1    | 1    | 443304.535316305    | 405404.075795957    |
| 367665:8784 | 05/18/23 00:51:18 | 271  | 271  | 120907428.245245159 | 112003470.416143864 |
| 367666:8784 | 05/18/23 02:39:54 | 82   | 82   | 36580602.627389014  | 33451515.586477317  |
| 367691:8786 | 05/18/23 12:45:42 | 156  | 156  | 47760650.797151275  | 43680219.391379796  |
| 367696:8786 | 05/18/23 14:31:37 | 1912 | 1912 | 655416740.056322694 | 624000388.192789555 |
| 367699:8786 | 05/19/23 03:14:54 | 151  | 151  | 29717190.447931070  | 28963162.484499503  |
| 367730:8794 | 05/19/23 17:40:18 | 515  | 515  | 203167130.867098749 | 189555572.482923567 |
| 367742:8796 | 05/20/23 03:16:40 | 405  | 405  | 159539694.921436191 | 152179980.000322640 |
| 367758:8804 | 05/21/23 03:47:38 | 716  | 716  | 288804695.177728891 | 274427651.862411082 |
| 367770:8807 | 05/21/23 14:39:39 | 152  | 152  | 47272819.929924928  | 44077352.582852557  |
| 367771:8807 | 05/21/23 15:40:12 | 91   | 91   | 42964261.243681781  | 40266491.123334937  |
| 367772:8807 | 05/21/23 16:17:10 | 6    | 6    | 2770678.055152707   | 2164856.642569507   |
| 367790:8811 | 05/22/23 02:56:11 | 160  | 160  | 53035881.074167944  | 49416661.188368380  |
| 367831:8816 | 05/22/23 17:58:39 | 452  | 452  | 192855603.620563895 | 182679451.674522609 |
| 367836:8817 | 05/23/23 00:06:34 | 540  | 540  | 231693245.959095478 | 220198410.926681727 |
| 367838:8817 | 05/23/23 03:40:32 | 790  | 790  | 337264106.455604553 | 322013794.193988562 |
| 367840:8817 | 05/23/23 08:52:14 | 570  | 570  | 171980271.072340488 | 165717580.173683703 |
| 367881:8821 | 05/23/23 23:38:10 | 139  | 139  | 49871851.441426277  | 47283134.368986003  |
| 367883:8821 | 05/24/23 00:40:39 | 1049 | 1049 | 493265493.396261454 | 467494629.610417902 |
| 367884:8821 | 05/24/23 07:31:56 | 1011 | 1011 | 327405402.309532046 | 315368010.636588991 |
| 367902:8822 | 05/24/23 17:32:35 | 232  | 232  | 91234798.964386165  | 85914534.259499490  |
| 367904:8822 | 05/24/23 19:07:59 | 102  | 102  | 49057947.848219946  | 44639164.380671814  |
| 367905:8822 | 05/24/23 19:51:09 | 48   | 48   | 22976141.424356684  | 21327873.977409687  |
| 367906:8822 | 05/24/23 20:15:19 | 339  | 339  | 162917311.997433335 | 151127095.116570711 |
| 367907:8822 | 05/24/23 22:31:39 | 119  | 119  | 57023806.734565035  | 50965688.381068766  |
| 367908:8822 | 05/24/23 23:20:48 | 357  | 357  | 152669436.306493521 | 143386751.686067164 |
| 367910:8822 | 05/25/23 01:44:16 | 593  | 593  | 197825325.480263352 | 191021279.924800396 |
| 368223:8850 | 05/30/23 17:28:58 | 435  | 435  | 50246157.801793300  | 43783000.168710217  |
| 368224:8850 | 05/30/23 20:22:22 | 57   | 57   | 6972631.284496382   | 6488300.479694759   |
| 368229:8853 | 05/31/23 00:15:18 | 518  | 518  | 97663107.927472070  | 92994694.027090698  |
| 368318:8858 | 06/01/23 13:07:55 | 282  | 282  | 67029213.685530670  | 63613427.143855862  |
| 368320:8858 | 06/01/23 14:59:30 | 285  | 285  | 81224384.606322750  | 77936096.003087461  |
| 368321:8858 | 06/01/23 16:51:29 | 337  | 337  | 82320035.801520780  | 78760410.599557772  |
| 368332:8860 | 06/01/23 22:20:51 | 14   | 14   | 2406336.860751655   | 2320236.922497120   |
| 368333:8860 | 06/01/23 22:28:24 | 22   | 22   | 4241021.050719779   | 4056702.909535870   |
| 368343:8860 | 06/02/23 07:22:05 | 141  | 141  | 26089386.354223602  | 25052120.255394880  |
| 368382:8863 | 06/02/23 16:02:35 | 756  | 756  | 220376466.434058875 | 209125177.524334401 |
| 368384:8863 | 06/02/23 21:15:40 | 44   | 44   | 11935776.695553016  | 11265294.107369341  |
| 368388:8865 | 06/03/23 00:21:46 | 1429 | 1429 | 376066345.839361608 | 358221169.158452690 |
| 368389:8865 | 06/03/23 09:40:43 | 198  | 198  | 35543422.958168879  | 34342731.840509653  |
| 368400:8866 | 06/03/23 12:50:31 | 232  | 232  | 68427184.488369495  | 64447747.887574159  |
| 368410:8870 | 06/03/23 23:48:50 | 1453 | 1453 | 439304866.447914064 | 417370309.104569077 |
| 368412:8870 | 06/04/23 09:25:10 | 92   | 92   | 18166266.124581885  | 17456198.280997220  |
| 368423:8872 | 06/04/23 14:14:19 | 474  | 474  | 198781598.032962680 | 189347862.690457314 |
| 368451:8873 | 06/04/23 23:18:32 | 141  | 141  | 60392797.334151238  | 56783796.139786378  |
| 368453:8873 | 06/05/23 00:22:36 | 1    | 1    | 403383.707264335    | 300453.703557467    |
| 368454:8873 | 06/05/23 00:26:43 | 1165 | 1165 | 342980525.814971089 | 329187857.190350235 |
| 368489:8877 | 06/05/23 13:06:06 | 1537 | 1537 | 539098238.049675941 | 517106946.913146377 |
| 368546:8880 | 06/06/23 04:02:45 | 655  | 655  | 295015585.631023467 | 276815624.145956635 |
| 368547:8880 | 06/06/23 08:21:16 | 673  | 673  | 247512038.853224307 | 235093583.968219459 |
| 368548:8880 | 06/06/23 13:02:11 | 1038 | 1038 | 246853325.185055971 | 238039856.781506956 |
| 368566:8882 | 06/06/23 22:37:56 | 1195 | 1195 | 499233464.075611889 | 471112732.320836782 |
| 368567:8882 | 06/07/23 06:24:21 | 433  | 433  | 129989867.713953763 | 124275368.787477866 |
| 368609:8885 | 06/08/23 00:28:47 | 999  | 999  | 418235362.291734457 | 399070249.081485748 |
| 368611:8885 | 06/08/23 07:09:42 | 381  | 381  | 121286772.501810342 | 116765720.255794451 |
| 368613:8885 | 06/08/23 09:55:55 | 260  | 260  | 68717983.744193271  | 66413642.323049948  |
| 368636:8887 | 06/08/23 21:31:45 | 769  | 769  | 325408379.492831111 | 310599651.169490933 |
| 368669:8891 | 06/09/23 13:10:40 | 369  | 369  | 162414672.787875652 | 154399659.349874377 |
| 368670:8891 | 06/09/23 15:36:19 | 255  | 255  | 118288450.143242896 | 112516632.248901427 |
